State,code,Lat,Lon,Name,Type,Year,Assessment,Due,Details,Link,Required Details
Alabama,AL,32.806671,-86.79113,Teaching Strategies GOLD,Pilot,2014,1,,,https://www.alsde.edu/sites/memos/Memoranda/FY17-4007.pdf,
Alaska,AK,61.370716,-152.404419,Alaska Developmental Profile,State,2009,1,,,https://education.alaska.gov/TLS/EarlyLearning/pdf/EarlyLearningGuidelines.pdf,
Arizona,AZ,33.729759,-111.431221,Teaching Strategies GOLD,Local,,1,,,http://www.azed.gov/ece/early-childhood-assessment/,
Arkansas,AR,34.969704,-92.373123,QELI,State,,1,,,http://www.arkansased.gov/divisions/learning-services/assessment/qualls-early-learning-inventory,
California,CA,36.116203,-119.681564,DRDP (2015),State,2015,1,60 + every 6 months thereafter,,https://www.desiredresults.us/faq,
Colorado,CO,39.059811,-105.311104,"KEA Survey - Teaching Strategies GOLD, DPDR-K, Riverside Early Access Learning",Menu,2012,1,60,"4 areas of school readiness: physical well-being and motor development, social and emotional development, language and comprehension development, cognition and general knowledge",https://www.cde.state.co.us/schoolreadiness/assessment,Only required for state funded programs
Connecticut,CT,41.597782,-72.755371,Fall Kindergarten Entry Inventory,State,2007,1,middle to late October,"Language skills, Literacy skills, Numeracy skills, Physical/Motor skills, Creative/Aesthetic skills and Personal/Social skills",http://www.csde.state.ct.us/public/csde/cedar/assessment/kindergarten/resources/Teacher-Handbook-Fall%202009.pdf,
Delaware,DE,39.318523,-75.507141,"Teaching Strategies GOLD, DE-ELS",State,2015,1,30,"physical development, social and emotional development, language and literacy development, approaches to learning, cognitive development",https://www.doe.k12.de.us/Page/3029,Delaware Stars is optional
District of Columbia,DC,38.897438,-77.026817,Teaching Strategies GOLD,,,1,,,,
Florida,FL,27.766279,-81.686783,FLKRS - Star Early Learning,State,2017,1,30,,http://www.fldoe.org/accountability/assessments/k-12-student-assessment/flkrs/,
Georgia,GA,33.040619,-83.643074,Georgia Kindergarten Inventory of Developing Skills (GKIDS),State,2017?,1,14-May-18,"English Language Arts, Mathematics, Social Studies (optional), Science (optional), Approaches to Learning, Personal and Social Development, Motor Skills (optional)",http://www.gadoe.org/Curriculum-Instruction-and-Assessment/Assessment/Pages/GKIDS-Resources.aspx,
Hawaii,HI,21.094318,-157.498337,Teaching Strategies GOLD,, ,1,,,,
Idaho,ID,44.240459,-114.478828,None,,,0,,,,
Illinois,IL,40.349457,-88.986137,KIDS (DRDP),State,2017,1,40,14 state readiness measures,www.isbe.net/kids,
Indiana,IN,39.849426,-86.258278,Indiana Standards Tool for Alternate Reporting of Kindergarten Readiness,,,1,,,,
Iowa,IA,42.011539,-93.210526,Formative Assessment System for Teachers,,,1,,,,
Kansas,KS,38.5266,-96.726486,None,Pilot,2018,0,,,http://www.ksde.org/Portals/0/ECSETS/FactSheets/FactSheet-KindergartenReadiness.pdf,
Kentucky,KY,37.66814,-84.670067,BRIGANCE Early Childhood Kindergarten Screen III,,,1,,,,
Louisiana,LA,31.169546,-91.867805,Developing Skills Checklist,,,1,,,,
Maine,ME,44.693947,-69.381927,KEA,??,,1,,,,
Maryland,MD,39.063946,-76.802101,Ready for Kindergarten (R4K),,,1,,,,
Massachusetts,MA,42.230171,-71.530106,Teaching Strategies GOLD,,,1,,,,
Michigan,MI,43.326618,-84.536095,Teaching Strategies GOLD,,,1,,,,
Minnesota,MN,45.694454,-93.900192,Teaching Strategies GOLD,,,1,,,,
Mississippi,MS,32.741646,-89.678696,STAR Early Literacy,,,1,,,,
Missouri,MO,38.456085,-92.288368,DRDP,,,1,,,https://dese.mo.gov/quality-schools/early-learning/school-readiness-tool,
Montana,MT,46.921925,-110.454353,Montana Early Care and Education Knowledge Base,,,1,,,http://opi.mt.gov/Curriculum/EarlyChildhood/Index.html#gpm1_3,
Nebraska,NE,41.12537,-98.268082,"Teaching Strategies GOLD, Nebraska Early Learning Guidelines",Local,,1,,,https://www.education.ne.gov/oec/pubs/ELG/3_5_English.pdf,
Nevada,NV,38.313515,-117.055374,BRIGANCE Early Childhood Kindergarten Screen III,,,1,,,,
New Hampshire,NH,43.452492,-71.563896,NH KRI,,,1,,,https://www.education.nh.gov/instruction/curriculum/documents/kindergarten-readiness.pdf,
New Jersey,NJ,40.298904,-74.521011,Teaching Strategies GOLD,,,1,,,,
New Mexico,NM,34.840515,-106.248482,Kindergarten Observation Tool ,,,1,,,,
New York,NY,42.165726,-74.948051,Not yet developed,,,0,,,http://www.p12.nysed.gov/earlylearning/assessment/,
North Carolina,NC,35.630066,-79.806419,K-3 formative assessment (consortium lead),,,1,,,,
North Dakota,ND,47.528912,-99.784012,"K-3 formative assessment (consortium with AZ, Delaware, DC, Iowa, ME, OR, RI, SC)",,,1,,,https://www.nd.gov/dpi/uploads/1435/FullColorOverviewK3ConsortiumND.pdf,
Ohio,OH,40.388783,-82.764915,New Kindergarten Readiness Assessment?,,,1,,,,
Oklahoma,OK,35.565342,-96.928917,ELQA (literary),,,1,,,"http://www.oksenate.gov/publications/senate_studies/Interim%20Studies%20-%202015/15-01,%2015-39%20,15-41/10%2027%2015%2015-41%20SDE-OKKindergartenReadiness.pdf",
Oregon,OR,44.572021,-122.070938,Oregon Kindergarten Assessment,,,1,,,,
Pennsylvania,PA,40.590752,-77.209755,KEI,,,1,,,,
Rhode Island,RI,41.680893,-71.51178,KEP,,,1,,,,
South Carolina,SC,33.856892,-80.945007,Kindergarten Readiness Assessment,State,Pending legislative approval fall 2017,1,,,https://ed.sc.gov/tests/elementary/pre-k-and-kindergarten-readiness-assessments/kindergarten-readiness-assessment-kra/,
South Dakota,SD,44.299782,-99.438828,Early Learning Guidelines,,,1,,,https://doe.sd.gov/oess/documents/CrosswInt.pdf,https://doe.sd.gov/oess/documents/HEADSTART_EarlyLearningGuidelines.pdf
Tennessee,TN,35.747845,-86.692345,KEI,Pilot,2018,0,,,http://www.tn.gov/education/article/kei-faq,
Texas,TX,31.054487,-97.563461,TX-KEA,State,,1,,,https://www.texaskea.org/Background.html,
Utah,UT,40.150032,-111.862434,Utah State Office of Education Kindergarten Assessment,State,,1,,,,
Vermont,VT,44.045876,-72.710686,Ready for Kindergarten! Survey,,,1,,,,
Virginia,VA,37.769337,-78.169968,PALS-K,,,1,,,,
Washington,WA,47.400902,-121.490494,Teaching Strategies GOLD,,,1,,,,
West Virginia,WV,38.491226,-80.954453,Ready Set Go!,,,1,,,http://wvde.state.wv.us/ready-set-go/,
Wisconsin,WI,44.268543,-89.616508,Literary assessment only?,,,1,,,,
Wyoming,WY,42.755966,-107.30249,Early Learning Foundations,,,0,,,https://edu.wyoming.gov/educators/standards/early-childhood-readiness/,
